k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,39220,22432,28808,209893,35095,27142,377622,137631,21064,43232
2,80638,49265,59185,290070,80301,54569,510157,138001,25274,48406
3,141833,35400,90832,261612,84701,72247,457154,195901,66297,73722
4,151354,45121,98345,253167,116487,112562,430254,179987,108257,103068
5,160693,48134,159302,224312,137654,140962,275137,186349,141332,65718
6,163855,108015,158550,216269,68332,138087,265995,195948,141793,75084
7,191116,118718,178620,222391,160619,177340,318767,236107,160083,94575
8,180707,109820,220643,381517,165071,195887,537421,326296,171110,174464
9,89725,73377,150570,245412,145629,219266,385310,316731,122563,84132
10,208500,98832,173157,281398,158248,232327,327314,211248,149639,114406
11,222447,118821,150327,294892,200394,282944,365706,237379,149548,160061
12,246846,154195,226424,509990,196046,331380,424111,321831,184428,179159
13,277988,163469,157648,492509,241952,315483,530594,368981,114368,221754
14,199691,115146,180245,406310,158709,260900,485455,342795,167917,196627
15,401665,140913,231652,506643,209593,319721,629369,433378,201714,274370
16,395402,117872,225598,498708,266111,241731,355138,267381,90849,247516
17,413602,167364,175780,501265,292214,374690,451979,285873,210202,190693
18,448310,182281,238546,437180,199532,387925,632844,433505,189367,219817
19,386836,148653,209485,388737,221172,320675,629963,395828,195630,310633
20,444987,199187,156715,459311,151801,361938,661032,410974,101758,308638
21,400046,201927,154015,569340,275149,379234,680942,416463,201017,299208
22,253847,160179,244201,478442,233642,300157,620841,422430,217214,298015
23,519100,149356,143729,374783,268494,389498,505380,341962,244412,224022
24,365566,195368,206005,557800,268492,315666,596776,428944,171199,313229
25,539511,218211,313540,450082,300121,225653,693372,449536,243752,225527
26,398068,143306,308636,516185,299927,349807,559287,380183,150609,161945
27,483037,236838,372829,575959,348422,405290,724015,411770,269133,351634
28,493842,112363,345258,564461,277785,307332,467151,406967,154119,283843
29,520399,223179,390257,475111,294932,374201,501285,374960,134664,312982
30,550709,242687,376878,451916,344808,277846,667120,424806,267846,324058
31,503577,211669,373398,540662,203978,332009,477832,325212,119416,145580
32,487683,117101,419315,546540,237697,249894,698656,452838,166799,256860
33,569487,266033,402676,604699,368860,338340,788262,490612,288785,254165
34,370398,229604,420791,563919,343302,381390,702155,334530,263332,304110
35,502013,230456,441929,468477,345347,374693,791331,501067,162139,344203
36,448174,198305,362696,540826,345995,342033,375765,410310,241047,296709
37,498023,247010,412357,564000,360883,202714,518435,305402,183408,280747
38,424458,243872,422936,588225,236463,228456,774391,439418,276883,353442
